sample_index,storm_id,window_start,window_end,current_lat,current_lon,current_wind_kmh,target_6h_lat,target_6h_lon,target_6h_wind_kmh,target_12h_lat,target_12h_lon,target_12h_wind_kmh,target_24h_lat,target_24h_lon,target_24h_wind_kmh
176,STORM_013,2020-05-02 00:00,2020-05-02 21:00,15.47,88.49,66.6,16.53,87.77,61.3,17.17,87.18,54.5,18.55,86.27,42.4
177,STORM_013,2020-05-02 03:00,2020-05-03 00:00,15.73,88.25,65.2,16.69,87.55,57.5,17.5,86.93,50.7,18.88,85.97,39.4
178,STORM_013,2020-05-02 06:00,2020-05-03 03:00,16.08,88.01,63.3,17.17,87.18,54.5,17.9,86.77,47.4,19.19,85.69,35.4
179,STORM_013,2020-05-02 09:00,2020-05-03 06:00,16.53,87.77,61.3,17.5,86.93,50.7,18.21,86.48,43.9,19.68,85.56,34.1
180,STORM_013,2020-05-02 12:00,2020-05-03 09:00,16.69,87.55,57.5,17.9,86.77,47.4,18.55,86.27,42.4,19.97,85.27,28.8
181,STORM_013,2020-05-02 15:00,2020-05-03 12:00,17.17,87.18,54.5,18.21,86.48,43.9,18.88,85.97,39.4,20.35,85.1,27.5
182,STORM_014,2020-05-01 00:00,2020-05-01 21:00,11.15,90.79,70.1,12.16,90.02,80.2,12.86,89.48,85.6,14.33,88.5,74.6
183,STORM_014,2020-05-01 03:00,2020-05-02 00:00,11.44,90.42,73.7,12.54,89.61,81.6,13.19,89.21,81.3,14.53,88.3,70.6
184,STORM_014,2020-05-01 06:00,2020-05-02 03:00,11.84,90.26,76.1,12.86,89.48,85.6,13.54,88.97,77.7,15.0,88.03,65.2
185,STORM_014,2020-05-01 09:00,2020-05-02 06:00,12.16,90.02,80.2,13.19,89.21,81.3,13.93,88.71,75.9,15.25,87.76,63.1
186,STORM_014,2020-05-01 12:00,2020-05-02 09:00,12.54,89.61,81.6,13.54,88.97,77.7,14.33,88.5,74.6,15.59,87.42,61.2
187,STORM_014,2020-05-01 15:00,2020-05-02 12:00,12.86,89.48,85.6,13.93,88.71,75.9,14.53,88.3,70.6,16.03,87.21,57.8
188,STORM_014,2020-05-01 18:00,2020-05-02 15:00,13.19,89.21,81.3,14.33,88.5,74.6,15.0,88.03,65.2,16.39,86.99,55.1
189,STORM_014,2020-05-01 21:00,2020-05-02 18:00,13.54,88.97,77.7,14.53,88.3,70.6,15.25,87.76,63.1,16.73,86.67,51.7
190,STORM_014,2020-05-02 00:00,2020-05-02 21:00,13.93,88.71,75.9,15.0,88.03,65.2,15.59,87.42,61.2,17.11,86.39,48.5
191,STORM_014,2020-05-02 03:00,2020-05-03 00:00,14.33,88.5,74.6,15.25,87.76,63.1,16.03,87.21,57.8,17.49,86.24,45.9
192,STORM_014,2020-05-02 06:00,2020-05-03 03:00,14.53,88.3,70.6,15.59,87.42,61.2,16.39,86.99,55.1,17.78,86.07,44.4
193,STORM_014,2020-05-02 09:00,2020-05-03 06:00,15.0,88.03,65.2,16.03,87.21,57.8,16.73,86.67,51.7,18.12,85.74,42.1
194,STORM_014,2020-05-02 12:00,2020-05-03 09:00,15.25,87.76,63.1,16.39,86.99,55.1,17.11,86.39,48.5,18.52,85.6,37.0
195,STORM_014,2020-05-02 15:00,2020-05-03 12:00,15.59,87.42,61.2,16.73,86.67,51.7,17.49,86.24,45.9,18.82,85.22,34.8
196,STORM_015,2020-05-01 00:00,2020-05-01 21:00,12.32,90.89,59.9,13.39,90.13,71.2,14.03,89.61,76.6,15.43,88.67,65.7
197,STORM_015,2020-05-01 03:00,2020-05-02 00:00,12.61,90.68,64.7,13.72,89.93,71.6,14.38,89.41,73.2,15.7,88.29,60.7
198,STORM_015,2020-05-01 06:00,2020-05-02 03:00,12.95,90.34,67.7,14.03,89.61,76.6,14.74,89.2,69.5,16.17,88.15,57.6
199,STORM_015,2020-05-01 09:00,2020-05-02 06:00,13.39,90.13,71.2,14.38,89.41,73.2,15.1,88.89,66.9,16.47,87.87,54.4
200,STORM_015,2020-05-01 12:00,2020-05-02 09:00,13.72,89.93,71.6,14.74,89.2,69.5,15.43,88.67,65.7,16.92,87.65,52.1
201,STORM_015,2020-05-01 15:00,2020-05-02 12:00,14.03,89.61,76.6,15.1,88.89,66.9,15.7,88.29,60.7,17.13,87.39,49.0
202,STORM_015,2020-05-01 18:00,2020-05-02 15:00,14.38,89.41,73.2,15.43,88.67,65.7,16.17,88.15,57.6,17.62,87.17,44.9
203,STORM_015,2020-05-01 21:00,2020-05-02 18:00,14.74,89.2,69.5,15.7,88.29,60.7,16.47,87.87,54.4,17.92,87.05,41.2
204,STORM_015,2020-05-02 00:00,2020-05-02 21:00,15.1,88.89,66.9,16.17,88.15,57.6,16.92,87.65,52.1,18.28,86.63,40.4
205,STORM_015,2020-05-02 03:00,2020-05-03 00:00,15.43,88.67,65.7,16.47,87.87,54.4,17.13,87.39,49.0,18.68,86.47,37.8
206,STORM_015,2020-05-02 06:00,2020-05-03 03:00,15.7,88.29,60.7,16.92,87.65,52.1,17.62,87.17,44.9,18.95,86.21,35.8
207,STORM_015,2020-05-02 09:00,2020-05-03 06:00,16.17,88.15,57.6,17.13,87.39,49.0,17.92,87.05,41.2,19.21,85.91,30.9
208,STORM_015,2020-05-02 12:00,2020-05-03 09:00,16.47,87.87,54.4,17.62,87.17,44.9,18.28,86.63,40.4,19.68,85.61,27.0
209,STORM_015,2020-05-02 15:00,2020-05-03 12:00,16.92,87.65,52.1,17.92,87.05,41.2,18.68,86.47,37.8,20.07,85.43,25.1
210,STORM_016,2020-05-01 00:00,2020-05-01 21:00,11.68,92.09,82.6,12.65,91.29,89.9,13.38,90.82,96.2,14.77,89.82,83.3
211,STORM_016,2020-05-01 03:00,2020-05-02 00:00,11.89,91.84,82.7,13.04,91.03,93.3,13.75,90.44,93.4,15.11,89.61,80.2
212,STORM_016,2020-05-01 06:00,2020-05-02 03:00,12.33,91.55,87.4,13.38,90.82,96.2,14.1,90.33,89.4,15.52,89.28,78.8
213,STORM_016,2020-05-01 09:00,2020-05-02 06:00,12.65,91.29,89.9,13.75,90.44,93.4,14.52,90.06,85.1,15.81,89.09,74.3
214,STORM_016,2020-05-01 12:00,2020-05-02 09:00,13.04,91.03,93.3,14.1,90.33,89.4,14.77,89.82,83.3,16.22,88.8,71.9
215,STORM_016,2020-05-01 15:00,2020-05-02 12:00,13.38,90.82,96.2,14.52,90.06,85.1,15.11,89.61,80.2,16.55,88.5,68.6
216,STORM_016,2020-05-01 18:00,2020-05-02 15:00,13.75,90.44,93.4,14.77,89.82,83.3,15.52,89.28,78.8,16.88,88.41,66.1
217,STORM_016,2020-05-01 21:00,2020-05-02 18:00,14.1,90.33,89.4,15.11,89.61,80.2,15.81,89.09,74.3,17.29,88.06,62.9
218,STORM_016,2020-05-02 00:00,2020-05-02 21:00,14.52,90.06,85.1,15.52,89.28,78.8,16.22,88.8,71.9,17.51,87.72,61.5
219,STORM_016,2020-05-02 03:00,2020-05-03 00:00,14.77,89.82,83.3,15.81,89.09,74.3,16.55,88.5,68.6,17.87,87.55,56.8
220,STORM_016,2020-05-02 06:00,2020-05-03 03:00,15.11,89.61,80.2,16.22,88.8,71.9,16.88,88.41,66.1,18.38,87.35,55.0
221,STORM_016,2020-05-02 09:00,2020-05-03 06:00,15.52,89.28,78.8,16.55,88.5,68.6,17.29,88.06,62.9,18.68,87.12,52.3
222,STORM_016,2020-05-02 12:00,2020-05-03 09:00,15.81,89.09,74.3,16.88,88.41,66.1,17.51,87.72,61.5,19.01,86.8,48.5
223,STORM_016,2020-05-02 15:00,2020-05-03 12:00,16.22,88.8,71.9,17.29,88.06,62.9,17.87,87.55,56.8,19.35,86.6,46.2
